timestamp_ms,x,y,event_type,button,dx,dy
695749306,1995,1546,move,,0,0
695749314,1994,1546,move,,0,0
695749322,1992,1546,move,,0,0
695749330,1990,1546,move,,0,0
695749338,1989,1546,move,,0,0
695749346,1987,1546,move,,0,0
695749354,1983,1546,move,,0,0
695749362,1981,1546,move,,0,0
695749370,1978,1546,move,,0,0
695749378,1976,1546,move,,0,0
695749386,1974,1546,move,,0,0
695749394,1972,1546,move,,0,0
695749402,1972,1546,move,,0,0
695749458,1972,1546,click_down,left,0,0
695749539,1972,1546,click_up,left,0,0
695749730,1972,1545,move,,0,0
695749746,1972,1544,move,,0,0
695749762,1972,1543,move,,0,0
695749778,1972,1542,move,,0,0
695749810,1972,1542,move,,0,0
695749843,1972,1541,move,,0,0
695749858,1972,1541,move,,0,0
695749866,1972,1540,move,,0,0
695749890,1973,1539,move,,0,0
695749914,1973,1538,move,,0,0
695749938,1974,1538,move,,0,0
695749946,1974,1537,move,,0,0
695749970,1974,1536,move,,0,0
695749986,1974,1536,move,,0,0
695750010,1975,1535,move,,0,0
695750026,1975,1534,move,,0,0
695750042,1975,1533,move,,0,0
695750074,1975,1532,move,,0,0
695750098,1975,1531,move,,0,0
695750106,1975,1531,move,,0,0
695750122,1975,1530,move,,0,0
695750130,1975,1529,move,,0,0
695750138,1975,1528,move,,0,0
695750146,1975,1527,move,,0,0
695750154,1975,1526,move,,0,0
695750162,1975,1524,move,,0,0
695750170,1975,1523,move,,0,0
695750178,1975,1521,move,,0,0
695750186,1975,1517,move,,0,0
695750194,1974,1514,move,,0,0
695750202,1971,1511,move,,0,0
695750210,1969,1506,move,,0,0
695750218,1967,1501,move,,0,0
695750226,1964,1498,move,,0,0
695750234,1961,1494,move,,0,0
695750242,1958,1489,move,,0,0
695750250,1954,1484,move,,0,0
695750258,1951,1480,move,,0,0
695750266,1947,1477,move,,0,0
695750274,1944,1473,move,,0,0
695750282,1941,1470,move,,0,0
695750290,1935,1466,move,,0,0
695750298,1928,1462,move,,0,0
695750306,1919,1457,move,,0,0
695750314,1911,1453,move,,0,0
695750322,1900,1448,move,,0,0
695750330,1889,1444,move,,0,0
695750338,1881,1441,move,,0,0
695750346,1872,1438,move,,0,0
695750354,1863,1435,move,,0,0
695750362,1856,1433,move,,0,0
695750370,1850,1431,move,,0,0
695750378,1845,1430,move,,0,0
695750386,1842,1429,move,,0,0
695750394,1839,1428,move,,0,0
695750402,1837,1427,move,,0,0
695750410,1835,1426,move,,0,0
695750418,1833,1425,move,,0,0
695750426,1832,1425,move,,0,0
695750434,1831,1425,move,,0,0
695750442,1831,1424,move,,0,0
695750450,1830,1424,move,,0,0
695750458,1830,1423,move,,0,0
695750466,1829,1423,move,,0,0
695750474,1829,1422,move,,0,0
695750498,1829,1421,move,,0,0
695750522,1829,1421,move,,0,0
695750538,1828,1421,move,,0,0
695750546,1828,1420,move,,0,0
695750594,1828,1419,move,,0,0
695750722,1828,1418,move,,0,0
695750738,1828,1417,move,,0,0
695752858,1827,1417,move,,0,0
695752866,1826,1417,move,,0,0
695752874,1824,1417,move,,0,0
695752882,1821,1417,move,,0,0
695752890,1817,1417,move,,0,0
695752898,1814,1417,move,,0,0
695752906,1811,1417,move,,0,0
695752914,1806,1416,move,,0,0
695752922,1802,1416,move,,0,0
695752930,1797,1415,move,,0,0
695752938,1793,1415,move,,0,0
695752946,1788,1414,move,,0,0
695752954,1784,1414,move,,0,0
695752962,1779,1413,move,,0,0
